! note: initial lines of file can contain comments
!
            60 -- model for mesa/star, with cell boundary velocities (v), with angular velocities (omega), with convection velocities (conv_vel). cgs units. lnd=ln(density), lnT=ln(temperature), lnR=ln(radius), L=luminosity, dq=fraction of total mstar in cell; remaining cols are mass fractions.

                          M/Msun      1.2120676762883630D+01
                    model_number                            5819
                        star_age      1.5405478059032502D+07
                       initial_z      3.4000000000000024D-04
                        n_shells                            1993
                        net_name   'approx21.net'
                         species                              21
                            time      4.8616838716216894D+14

                lnd                        lnT                        lnR                          L                  dq                          v                      omega                   conv_vel                   neut                       h1                         prot                       he3                        he4                        c12                        n14                        o16                        ne20                       mg24                       si28                       s32                        ar36                       ca40                       ti44                       cr48                       cr56                       fe52                       fe54                       fe56                       ni56     
    1    -1.5770619928851290D+01     1.2329174429022271D+01     2.3973897569579802D+01     1.1602567882611969D+39     1.2500000000006259D-13     0.0000000000000000D+00     3.7310227772068373D-03     1.6842091874055120D+05     1.0301331472933372D-99     4.3850467549930147D-31     1.0301331473906127D-99     1.2035479413946019D-30     4.4720814446634218D-02     3.0594810478965754D-01     1.7124594467195645D-08     6.4768693354109050D-01     1.5523864823187700D-03     6.0993439703199259D-05     8.2784694513318033D-06     5.0166223617129261D-06     9.8101760550415502D-07     7.5916633275839258D-07     2.4170433738286227D-22     8.2601328936567242D-41     1.0301331473419752D-99     1.7809183997761525D-61     9.0369158723151645D-07     1.4811208662413535D-05     1.0190439704033622D-99 
    2    -1.5786102792897141D+01     1.2350153129737986D+01     2.3973798971459139D+01     1.1596474642724121D+39     6.2500000000031432D-14     0.0000000000000000D+00     3.7310227772068373D-03     1.6842091874055120D+05     1.0301331472933372D-99     4.3850467537530768D-31     1.0301331473906127D-99     1.2035479410208806D-30     4.4720814446567667D-02     3.0594810478952867D-01     1.7124594467160494D-08     6.4768693354128403D-01     1.5523864823207618D-03     6.0993439703233551D-05     8.2784694513318051D-06     5.0166223617129253D-06     9.8101760550415484D-07     7.5916633275839240D-07     2.4170433738347254D-22     8.2601328936956868D-41     1.0301331473419752D-99     1.7809183997887545D-61     9.0369158723151645D-07     1.4811208662413532D-05     1.0190438403406965D-99 
    3    -1.5780482022497198D+01     1.2363099446812808D+01     2.3973748892001145D+01     1.1594737816807225D+39     6.2500000000030846D-14     0.0000000000000000D+00     3.7311157537582895D-03     2.0514013725366555D+05     1.0301331472933370D-99     4.3850467530951169D-31     1.0301331473906130D-99     1.2035479408225699D-30     4.4720814446532344D-02     3.0594810478946010D-01     1.7124594467141842D-08     6.4768693354138680D-01     1.5523864823218196D-03     6.0993439703251723D-05     8.2784694513318068D-06     5.0166223617129270D-06     9.8101760550415502D-07     7.5916633275839249D-07     2.4170433738379628D-22     8.2601328937163636D-41     1.0301331473419754D-99     1.7809183997954420D-61     9.0369158723151645D-07     1.4811208662413537D-05     1.0190437713227202D-99 
    4    -1.5761631390565327D+01     1.2372268859327117D+01     2.3973699085776853D+01     1.1593980591217818D+39     3.1250000000015449D-14     0.0000000000000000D+00     3.7312128471159500D-03     5.1255013809098404D+05     1.0301331472933372D-99     4.3850467525893455D-31     1.0301331473906132D-99     1.2035479406701288D-30     4.4720814446505201D-02     3.0594810478940748D-01     1.7124594467127502D-08     6.4768693354146584D-01     1.5523864823226325D-03     6.0993439703265721D-05     8.2784694513318068D-06     5.0166223617129261D-06     9.8101760550415502D-07     7.5916633275839284D-07     2.4170433738404528D-22     8.2601328937322566D-41     1.0301331473419756D-99     1.7809183998005830D-61     9.0369158723151645D-07     1.4811208662413541D-05     1.0190437182678095D-99 
    5    -1.5751301782704397D+01     1.2378216404302435D+01     2.3973674644985316D+01     1.1593790127801886D+39     3.1250000000014699D-14     0.0000000000000000D+00     3.7312679157949757D-03     2.2586256350845785D+05     1.0301331472933368D-99     4.3850467521618305D-31     1.0301331473906130D-99     1.2035479405412743D-30     4.4720814446482242D-02     3.0594810478936302D-01     1.7124594467115381D-08     6.4768693354153263D-01     1.5523864823233186D-03     6.0993439703277498D-05     8.2784694513318051D-06     5.0166223617129244D-06     9.8101760550415484D-07     7.5916633275839258D-07     2.4170433738425560D-22     8.2601328937456877D-41     1.0301331473419752D-99     1.7809183998049274D-61     9.0369158723151610D-07     1.4811208662413535D-05     1.0190436734216798D-99 
    6    -1.5737997575293638D+01     1.2386896512242513D+01     2.3973650453593471D+01     1.1593676254777960D+39     6.2500000000032880D-14     0.0000000000000000D+00     3.7313207908377665D-03     1.2776798382825387D+06     1.0301331472933366D-99     4.3850467519555964D-31     1.0301331473906132D-99     1.2035479404791149D-30     4.4720814446471166D-02     3.0594810478934153D-01     1.7124594467109533D-08     6.4768693354156479D-01     1.5523864823236499D-03     6.0993439703283192D-05     8.2784694513318051D-06     5.0166223617129244D-06     9.8101760550415502D-07     7.5916633275839249D-07     2.4170433738435708D-22     8.2601328937521660D-41     1.0301331473419752D-99     1.7809183998070235D-61     9.0369158723151610D-07     1.4811208662413532D-05     1.0190436517875960D-99 
    7    -1.5710217924939275D+01     1.2403387705568373D+01     2.3973602705089134D+01     1.1593694883947487D+39     1.2500000000006514D-13     0.0000000000000000D+00     3.7313604190619078D-03     1.2116814279324086D+06     1.0301331472933368D-99     4.3850467513973407D-31     1.0301331473906127D-99     1.2035479403108546D-30     4.4720814446441199D-02     3.0594810478928340D-01     1.7124594467093706D-08     6.4768693354165192D-01     1.5523864823245467D-03     6.0993439703298619D-05     8.2784694513318015D-06     5.0166223617129244D-06     9.8101760550415484D-07     7.5916633275839231D-07     2.4170433738463179D-22     8.2601328937697093D-41     1.0301331473419752D-99     1.7809183998126978D-61     9.0369158723151574D-07     1.4811208662413532D-05     1.0190435932257722D-99 
    8    -1.5650050064507670D+01     1.2425053589331749D+01     2.3973509804847719D+01     1.1594217967211695D+39     1.4318334175884521D-13     0.0000000000000000D+00     3.7314271917370014D-03     6.0645854344534866D+06     1.0301331472933366D-99     4.3850467509262731D-31     1.0301331473906127D-99     1.2035479401688731D-30     4.4720814446415921D-02     3.0594810478923437D-01     1.7124594467080354D-08     6.4768693354172555D-01     1.5523864823253042D-03     6.0993439703311640D-05     8.2784694513318068D-06     5.0166223617129244D-06     9.8101760550415448D-07     7.5916633275839231D-07     2.4170433738486369D-22     8.2601328937845099D-41     1.0301331473419752D-99     1.7809183998174857D-61     9.0369158723151592D-07     1.4811208662413532D-05     1.0190435438093399D-99 
    9    -1.5593165110205495D+01     1.2446302685777985D+01     2.3973409575577928D+01     1.1594776523955840D+39     1.4318334175884572D-13     0.0000000000000000D+00     3.7314575125656137D-03     6.1911894389491255D+06     1.0301331472933366D-99     4.3850467502211856D-31     1.0301331473906127D-99     1.2035479399563573D-30     4.4720814446378085D-02     3.0594810478916087D-01     1.7124594467060370D-08     6.4768693354183559D-01     1.5523864823264370D-03     6.0993439703331127D-05     8.2784694513318104D-06     5.0166223617129244D-06     9.8101760550415448D-07     7.5916633275839249D-07     2.4170433738521062D-22     8.2601328938066664D-41     1.0301331473419754D-99     1.7809183998246520D-61     9.0369158723151610D-07     1.4811208662413532D-05     1.0190434698429544D-99 
   10    -1.5550762119623446D+01     1.2475415663742288D+01     2.3973314861019399D+01     1.1595408114928644D+39     2.8636668351769447D-13     0.0000000000000000D+00     3.7315321381027084D-03     1.7846760917719366D+06     1.0301331472933372D-99     4.3850467480705059D-31     1.0301331473906136D-99     1.2035479393081358D-30     4.4720814446262648D-02     3.0594810478893741D-01     1.7124594466999411D-08     6.4768693354217106D-01     1.5523864823298938D-03     6.0993439703390635D-05     8.2784694513318228D-06     5.0166223617129261D-06     9.8101760550415519D-07     7.5916633275839267D-07     2.4170433738626919D-22     8.2601328938742515D-41     1.0301331473419763D-99     1.7809183998465123D-61     9.0369158723151628D-07     1.4811208662413544D-05     1.0190432442262249D-99 
